,Titre,Commentaires,Date,Lien,Auteur,Lien auteur
61,Lausanne élue porte-étendard du pinard,0,2018-07-25T15:31:00+00:00,https://www.lausannebondyblog.ch/lausanne-elue-porte-etendard-du-pinard/,Yoan,['https://www.lausannebondyblog.ch/author/yoan/']
62,« JE PRÉFÈRE PROJETER MA PROPRE OMBRE »,0,2018-02-26T18:49:30+00:00,https://www.lausannebondyblog.ch/je-prefere-projeter-ma-propre-ombre/,Lucien,['https://www.lausannebondyblog.ch/author/lucien/']
63,OCUB 114 : 1001 choses à faire par Lausanne ces prochains temps !,0,2018-02-21T18:22:26+00:00,https://www.lausannebondyblog.ch/ocub-114-1001-choses-a-faire-par-lausanne-ces-prochains-temps/,Manon Mariller,['https://www.lausannebondyblog.ch/author/manon/']
64,"Fever Ray, stroboscopes dans le firmament des Docks",0,2018-02-19T19:17:24+00:00,https://www.lausannebondyblog.ch/fever-ray-stroboscopes-dans-le-firmament-des-docks/,Mathilde,['https://www.lausannebondyblog.ch/author/mathilde/']
65,"OCUB 113 : Lausanne est multiple et éclectique, preuve en est !",0,2018-03-07T13:45:02+00:00,https://www.lausannebondyblog.ch/ocub-113-lausanne-est-multiple-et-eclectique-preuve-en-est/,Mathilde,['https://www.lausannebondyblog.ch/author/mathilde/']
66,La gravité est une loi universelle 2,0,2018-02-06T10:17:31+00:00,https://www.lausannebondyblog.ch/la-gravite-est-une-loi-universelle-ii/,Mathilde,['https://www.lausannebondyblog.ch/author/mathilde/']
67,Coexistences – A la rencontre d’une association lausannoise qui créé des liens à travers les différences,0,2018-02-05T17:34:19+00:00,https://www.lausannebondyblog.ch/coexistences-a-la-rencontre-dune-association-lausannoise-qui-cree-des-liens-a-travers-les-differences/,Manon Mariller,['https://www.lausannebondyblog.ch/author/manon/']
68,Les Lausannois et la Ficelle 2.0 : dix ans qu’ils s’m2,2,2018-09-20T16:06:30+00:00,https://www.lausannebondyblog.ch/les-lausannois-et-la-ficelle-2-0-dix-ans-quils-sm2/,Yoan,['https://www.lausannebondyblog.ch/author/yoan/']
69,L’AmiKette et ses fruiandises artisanales made in Lausanne,0,2018-11-20T09:35:48+00:00,https://www.lausannebondyblog.ch/lamikette-et-ses-fruiandises-artisanales-made-in-lausanne/,Julie Collet,['https://www.lausannebondyblog.ch/author/julie/']
70,Un regard sur Lausanne : Un homme triste,0,2018-01-29T21:08:46+00:00,https://www.lausannebondyblog.ch/un-regard-sur-lausanne-un-homme-triste/,Lucien,['https://www.lausannebondyblog.ch/author/lucien/']
71,"La littérature romande ça vous inspire ? – « Stand-by : saison 1, épisode 1/4 »",0,2018-01-29T14:42:08+00:00,https://www.lausannebondyblog.ch/la-litterature-romande-ca-vous-inspire-stand-by-saison-1-episode-1-4/,Camille Borgeaud,['https://www.lausannebondyblog.ch/author/camille/']
72,OCUB 112 : Quelques bons plans pour se réchauffer à Lausanne ces prochains jours,0,2018-01-29T11:26:45+00:00,https://www.lausannebondyblog.ch/ocub-112-quelques-bons-plans-pour-se-rechauffer-a-lausanne-ces-prochains-jours/,Lucien,['https://www.lausannebondyblog.ch/author/lucien/']
73,OCUB 111 : Des sorties pour se cultiver et militer,0,2018-01-10T18:35:19+00:00,https://www.lausannebondyblog.ch/ocub-111-des-sorties-pour-se-cultiver-et-militer/,Julie Collet,['https://www.lausannebondyblog.ch/author/julie/']
74,Un îlot de peinture pour les actions militantes en gare de Lausanne,0,2018-04-14T09:37:57+00:00,https://www.lausannebondyblog.ch/un-ilot-de-peinture-pour-les-actions-militantes-en-gare-de-lausanne/,Yoan,['https://www.lausannebondyblog.ch/author/yoan/']
